page,table_id,col_1,col_2
7,1,"Relation de la Nouvelle-France 1673
BnF, NAF 7485 (papiers Renaudot)","Of New France
dans Louis Hennepin, A New Discovery of a Vast
Country in America, Extending above Four
Thousand Miles, between New France & New
Mexico ; with a Description of the Great Lakes,
Cataracts, Rivers, Plants, and Animals
(Londres, Henry Bonwicke, 1699), p. 174-176,
[https://archive.org/details/newdiscoveryofva-
12henn/page/174/mode/2up?view=theater20]"
7,1,"Le nommé Joliet qui estoit party de Quebec par
ordre de Mr de frontenac pour la découverte de
la mer du sud auroit raporté une relation de son
voyage si a son retour après avoir passé 42
rapides dans son Canot n’avoit versé au pied du
Saut s. Louis a la veue de Montreal ou il perdit sa
cassette, et deux hommes.
Il dit donc seulement de memoire quelque chose
de la charte quil avoit faite avec exactitude selon
les Rhums des vents de cette maniere.","Mr Joliet, who was sent by Count Frontenac to
discover a Way into the South-Sea, brought an
exact Account of his Voyage, with a Map of it ; But
his Canow being overset, at the Foot of the Fall
of St. Louis, in sight of Montroyal, his Chest and
his two Men were lost ;
therefore the following Account contains only
what he has remembred."
8,1,"il y a des bois des deux costez iusques a la mer, les
Cotoniers y sont si grands qu’on en fait des
Canots de 8 pieds de long, et de 3 de large qui
portent 30 hommes, il en vit 180 dans un village
de 300 Cabanes.
Il y a des Houx, et des Arbres dont l’escorce est
blanche, des Raisins, des Pommes, des Prunes des
Marrons, des Grenades des Assons qui sont des
petits fruits qui ne sont point en Europe, et des
Meures quantité de Cocq d’Inde partout, des
Perroquets par bandes, et des Cailles, des bœufs
qui ne fuyent pas, il en a compté 400 dans une
prairie,
il y a par endroits des Cerfs, et des Chevreuils, les
sauvages y sont honnestes, affables, et obligeans
les premiers luy donnerent un baston de Calumes
[decoré] de plumes qui est un passeport asseure,
mesme dans le combat on est asseure de la vie.","The Banks of that River are covered with Woods
down to the Sea ; but the Cotton-Trees are so big,
that I have seen some Canows made of those
Trees, eighty Foot long, and three broad, which
carry thirty Men. I saw 180 of those Wooden-
Canows in one Village of the Savages, consisting
of 300 Cabins. They have abundance of Holly
Trees, and other Trees, the Bark whereof is
White ; Grapes, Apples, Plums, Chesnuts,
Pomgranates, Mulberries, besides other Nuts
unknown to Europe ; plenty of Turky-Cocks,
Parrots, Quails, Wild-Bulls, Stags, and
Wild-Goats.
These Savages are affable, civil and obliging ; and
the first I met with presented me with a Pipe or
Calumet of Peace, which is a Protection even in a
Fight."
8,1,"Dans tous les villages les femmes qui sont fort
retenues et a qui l’on coupe le né quand elles
font mal, ont le soin de la culture de la terre avec
les viellards, on fait du bled 3 fois l’année, il y en
a qui est meur, que l’autre sort de la terre, on ne
connoist l’hyver que par les pluyes.","Their Women and Old Men take care of the
Culture of the Ground, which is so fertile as to
afford three Crops of Indian Corn every Year."
8,1,les sauvages asseurent qu’il y a peu de courant.,"The Savages told me, that the Current is not half
so great in Winter."
8,1,"par endroits, les herbes sont petites, mais en
d’autres de 3, 5 et 6 pieds de haut la chanvre
naturelle qui vient sans semer monte jusques a 8
pieds.","There are Meadows ten or twenty Leagues broad,
encompass’d with fine Forests ; behind which are
other Meadows, in which Grass grows six Foot
high. Hemp grows naturally in all that Country."
8,1,"Cette riviere ne serpente guerre, et va touiours au
sud estant decendus au [33 ? 38 ?] degré pres de
tomber entre les mains des Espagnols qu’ils
avoient costoyé 6 iours, et voyant que la riviere
n’alloit pas a la mer vermeille qui est ce que l’on
cherche, et estant assuré qu’il ny en a point
d’autres, il se resolut de retourner des portes de
l’Espagne, apres avoir interrogé les sauvages qui
n’en sont qu’a 30 lieues du costé de louest, de
ceux de l’emboucheure qui n’en sont qu’a 50…","The Mississipi has few Windings and Turnings, and
runs directy to the South, and having follow’d its
Course till the 33d Degree of Latitude, I resolv’d
to return home, seeing that River did not
discharge it self into Mar Vermejo, which we
look’d for, as also because the Spaniards observ’d
our Motions for six Days together. The Savages
told me that the Spaniards live within thirty
Leagues to the Westward."
8,1,"il dit de plus que dans le journal quil avoit fait
estoit la description des Mines de fer en
abondance, quantité de pierre sangines avec le
cuivre rouge qui est marqué de la mere mine
estoit la 1ere ensuite estoit celles des Melanges
de marbre blanc, et noir, du charbon de terre, et
du salpestre, avec touttes les circonstances, il
avoit fait enfin mention des lieux qui estoient
propres a faire de nouvelles colonies, et des
beauté, et bonté des terres.
Ces terres sont tres fertiles, et sont tres bonnes,
pour le vin, pour le bled et pour tous les fruits.","The said M. Joliet adds, That he had set down in
his Journal an exact Description of the Iron-Mines
they discover’d, as also of the Quarries of Marble,
and Cole-Pits, and Places where they find
Salt-Petre, with several other things. He had also
observ’d what were the fittest Places to settle
Colonies, &c. The Soil is very fertile, and produces
abundance of Grapes, which might make
delicious Wines."
16,1,"Relation de la Nouvelle-France
1673
BnF, NAF 7485 (papiers Renaudot)","Of New France
(dans Hennepin, A New Discovery,
1699, exemplaire de l’Université
de Pittsburg)","Relation de la descouverte de plusieurs
pays scitués au midy de la Nouvelle
France faitte Ao 1673
BnF, Moreau, fo 842, 31-33."
16,1,"En partant de la baye des Puans par
les 42d. 40 m. j’avois marché 60 lieues
vers l’ouest sur une riviere pour trouver
pour trouver [sic] un portage de
demilieue, au bout duquel je m’estois
embarqué avec six homes sur la riviere
de Miskonsing qui venant du
Norouest, et nous ayant mené 40 lieües
du costé du Surouest nous fit
heureusement entrer dans la riviere
de Colbert ou Messissipi selon les
sauvages par les 42 d. ½ le 15 [25 ?]
juin 1673.","I set out from the Bay of Puans in the
Latitude of 42 Degrees 4 minutes, and
having travell’d about 60 Leagues to
the Westward, I found a Portage ; and
carrying our Canows over-land for half
a League, I embark’d with six Men on
the River Misconsing, which brought
us into the Meschasipi in the Latitude
of 42 Degrees and an half, on the 15th
of June, 1674.This Portage is but
40 Leagues from the Mississipi. This
River is but half a League broad41 ; its
Stream is gentle to the Latitude of
38 degrees ; for a River, from the
West-North which runs into it,
increases so much its Rapidity, that
we cou’d make but five Leagues a Day
in our Return.","Estant arrivé aux Outaoüax il se
ioingnit au Pere Marquette qui
lattendoit pour cela, et qui depuis
longtemps premeditoit cette
entreprise, layant bien des fois
concertée ensemble.
Ils se mirent en chemin auec cinq
autres francois vers le comencement
de Juin 1673 pour entrer dans des pais
ou iamais European n’avoit mis le
pied. Estans partis de la Baye des
puants par les 43 degrés quarente
minuttes d’elevation, ils navigerent sur
une petite Riviere fort douce et fort
agreable, pres de 60 lieües tirant vers
loüest suroüest ; ils cherchoient un
portage de demy lieüe, qui les devoit
faire passer de cette riviere dans un
autre qui venoit du Noroüest, sur
laquelle s’estants embarqués, et ayant
fait 40 lieües vers le soroüest, Enfin le
15e de Juin, se trouvant a 42 degres et
demy, ils entrerent heureusement
dans cette fameuse riviere que les
sauvages appellent Mississipy, come
qui diroit la grande riviere [papier
déchiré] parce que de fait cest la plus
considerable de toutes celles qui sont
[en ce pays la]"
