field,has_ref,has_extractor,soft,levenshtein
title,1,1,1.0,1.0
abstract,1,1,0.015,0.125
language,1,1,0.0,0.0
date,1,0,0.0,0.0
issue_number,1,0,0.0,0.0
volume,1,0,0.0,0.0
acknowledgements,0,0,0.0,0.0
authors,1,1,"{'precision': 0.571, 'recall': 1.0, 'avg_similarity': 0.872}","{'precision': 0.571, 'recall': 1.0, 'avg_similarity': 0.872}"
tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
figures,1,1,"{'precision': 0.75, 'recall': 0.75, 'avg_similarity': 1.0}","{'precision': 0.75, 'recall': 0.75, 'avg_similarity': 1.0}"
keywords,1,1,"{'precision': 0.875, 'recall': 0.583, 'avg_similarity': 0.569}","{'precision': 0.875, 'recall': 0.583, 'avg_similarity': 0.569}"
themes,0,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
section_titles,1,1,"{'precision': 0.889, 'recall': 1.0, 'avg_similarity': 0.931}","{'precision': 0.889, 'recall': 1.0, 'avg_similarity': 0.931}"
content_tables,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
bibliographies,1,1,"{'precision': 0.933, 'recall': 0.933, 'avg_similarity': 0.922}","{'precision': 0.933, 'recall': 0.933, 'avg_similarity': 0.922}"
id,1,1,"{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}","{'precision': 0.5, 'recall': 0.5, 'avg_similarity': 1.0}"
pagination,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
rights,1,0,"{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}","{'precision': 0.0, 'recall': 0.0, 'avg_similarity': 0.0}"
